start,end,refuelCost
LUP,EKI,6553.527472083711
LUP,YPO,5137.249541044142
LUP,AGM,1220.3960586258515
EKI,YPO,1095.6162284766538
EKI,MRV,140.15748777230056
EKI,AGM,533.8281981217705
EKI,LUP,6553.527472083711
YPO,MRV,121.38316260484596
YPO,AGM,375.11596766922304
YPO,LUP,6566.37796651311
YPO,EKI,1400.4050620755072
YPO,VOK,1210.7392705452232
YPO,GZO,1533.3367920364549
YPO,QNC,5702.702505313057
YPO,KKC,347.35435117639855
MRV,AGM,699.0651213128958
MRV,YPO,5912.252073594301
MRV,EKI,8725.81524923614
AGM,LUP,8641.132689732895
AGM,YPO,2077.9744985139123
AGM,MRV,79.50561528961592
AGM,EKI,3779.8223461039984
LOV,BBO,20.218444002292305
LOV,BHI,904.5593879304902
LOV,VKO,152.96202750209488
LOV,VCS,0.6730055968455271
BBO,BHI,1319.702003204035
BBO,VCS,0.30269567993960794
BBO,VKO,77.28018730322222
BBO,LOV,890.2497079345061
BBO,KWM,8003.559226129773
BBO,BJZ,6010.269401283779
BHI,VKO,213.59017448364008
BHI,LOV,513.6156820645095
BHI,BBO,17.01817384335268
VKO,VCS,0.35475653470860313
VKO,BHI,1515.0326680893368
VKO,LOV,616.0635989552876
VKO,BBO,7.0688045341661265
VCS,LOV,922.0777574638048
VCS,VKO,120.68057118212305
VCS,BBO,9.418700398120837
start,end,refuelCost
YOD,EMD,9321.960260850585
YOD,SMR,2.085134780264341
YOD,ZML,594.9416630769178
YOD,CGO,1431.2014991039816
EMD,SMR,5.54955686063704
EMD,ZML,8963.47948604038
EMD,CGO,1144.3080616542497
EMD,YOD,9540.453745525147
EMD,HHH,14376.802494746858
EMD,PJA,1518.382800620626
SMR,ZML,4570.655943466229
SMR,CGO,2297.297886277095
SMR,YOD,4274.497507291412
SMR,EMD,11115.97235851987
SMR,MUK,6798.043664879111
SMR,XQU,4641.123055892974
SMR,NKG,2325.111200971241
SMR,AVO,1882.1811855332332
ZML,CGO,1399.1223816360591
ZML,YOD,594.9416630769178
ZML,SMR,2.2296032832131503
ZML,EMD,8758.199745689193
ZML,VNA,1.336882417250182
ZML,ARE,5675.4767872220145
ZML,MEY,103.70824486151182
ZML,LYI,1357.1354626675072
CGO,YOD,6876.251603785668
CGO,ZML,6722.126497659849
CGO,SMR,5.384152521818357
CGO,EMD,5371.952343804707
AUY,VOK,11703.051856606111
AUY,YVB,10561.134981525413
AUY,BPX,1482.3164332495135
AUY,ABT,3702.6619297979996
VOK,YVB,1454.8921879337854
VOK,BPX,1807.3597691615137
VOK,ABT,2874.4619870293573
VOK,AUY,111.3566106254637
VOK,GZO,1529.620389028835
VOK,YPO,947.2299331004629
VOK,QNC,6662.452321233897
VOK,KKC,380.1780577259441
YVB,BPX,1715.1244250734867
YVB,ABT,2413.7339031678607
YVB,AUY,128.44662079107022
YVB,VOK,1859.627789184394
BPX,ABT,1425.3496853697068
BPX,AUY,86.61716996360263
BPX,YVB,8240.36803062815
BPX,VOK,11099.177663303844
ABT,AUY,132.07282458402346
ABT,BPX,870.0771489119704
ABT,YVB,7079.078136394717
ABT,VOK,10775.541419571135
JOK,STE,7665.2846103588445
JOK,TMP,1474.3133009673256
JOK,YUL,5514.183216291517
JOK,KPC,5827.0145556885545
JOK,DYU,440.5271436685314
JOK,ODB,4356.576059543399
JOK,NAQ,602.1105793521917
JOK,HUX,693.4468337866925
STE,TMP,6803.466416035217
STE,YUL,923.0812509667794
STE,KPC,4786.856922741557
STE,JOK,123.12282616132883
TMP,YUL,4484.540985974812
TMP,KPC,5601.496509748498
TMP,JOK,22.468534706742044
TMP,STE,6455.128935534213
TMP,MSH,13070.624283017285
TMP,XBG,4202.894658225069
TMP,OMN,7511.27367077092
TMP,MLB,7591.509937345584
YUL,KPC,5363.94706225353
YUL,JOK,113.21049739496529
YUL,TMP,6041.413156371835
YUL,STE,1179.8726807453595
KPC,JOK,93.59580715503117
KPC,YUL,4196.519713649658
KPC,TMP,5903.769508588215
KPC,STE,4786.856922741557
KPC,CTL,7943.622064051666
KPC,HGR,5717.143144129204
KPC,HVG,558.4105266897361
KPC,KCT,76.05218314300393
VCV,COR,994.6123906727097
VCV,YKX,2540.7126275785085
VCV,CZW,2321.256995004127
VCV,LPG,1070.1001065177463
VCV,C02,2520.711193423991
VCV,TIA,75.96142499695672
VCV,MTM,2401.78662796343
VCV,FWM,11274.095050985467
COR,YKX,6667.620162685454
COR,CZW,2955.5020230574464
COR,LPG,77.17523297984899
COR,VCV,8729.770918318844
YKX,CZW,1592.2131218310772
YKX,LPG,1027.6033958536668
YKX,VCV,3247.511977699702
YKX,COR,970.995203538054
CZW,LPG,1312.9026166344845
CZW,VCV,9112.158199668662
CZW,YKX,4889.945388230072
CZW,COR,1321.844305719942
LPG,VCV,9392.330999667323
LPG,CZW,2935.5093657775665
LPG,YKX,7056.336732120045
LPG,COR,77.17523297984899
LIF,PIO,3763.359327832056
LIF,UUU,13389.906295518236
LIF,VEL,10383.557962407127
PIO,DKR,10.966235690147078
PIO,UUU,5851.74344992006
PIO,VEL,6579.540826530641
PIO,LIF,101.3398173754262
DKR,UUU,5632.902054537619
DKR,VEL,8651.607275712771
DKR,PIO,2239.299571373865
UUU,VEL,3021.608163336363
UUU,LIF,118.26245231496925
UUU,DKR,9.047789556403174
UUU,PIO,1919.3323794425828
VEL,LIF,91.70975519073748
VEL,UUU,3021.608163336363
VEL,DKR,13.896553001882655
VEL,PIO,2158.0450097136754
MEY,LYI,515.042435801191
MEY,ARE,13296.031976627151
